svyid,filecode,record,number
60,TRIR31,RECH2,8619
61,PHIR31,RECH0,13728
61,PHIR31,RECH2,12995
62,CIGE33FL,,246
62,CIIR35,RECH0,6348
62,CIIR35,RECH2,5935
63,IDIR31,RECH0,35510
63,IDIR31,RECH2,33738
64,ZWIR31,RECH0,6483
64,ZWIR31,RECH2,5984
65,BOIR31,RECH0,10491
65,BOIR31,RECH2,9114
66,CFGE33FL,,231
66,CFIR31,RECH0,6159
66,CFIR31,RECH2,5551
69,HTIR31,RECH0,5433
69,HTIR31,RECH2,4818
7,LBGE03FL,,156
70,guir34,RECH0,14615
70,guir34,RECH2,11297
71,EGGE32FL,,934
71,EGIR33,RECH0,16046
71,EGIR33,RECH2,15567
72,COIR31,RECH0,12142
72,COIR31,RECH2,10112
74,KKIR31,RECH0,4480
74,KKIR31,RECH2,4178
76,UGIR33,RECH0,8093
76,UGIR33,RECH2,7550
77,MLGE33FL,,300
77,MLIR32,RECH0,9512
77,MLIR32,RECH2,8716
81,SNGE32FL,,320
81,SNIR32,RECH0,5040
81,SNIR32,RECH2,4772
82,TZIR3A,RECH0,8900
82,TZIR3A,RECH2,7969
83,TDIR31,RECH0,7345
83,TDIR31,RECH2,6840
85,BRIR31,RECH0,16451
85,BRIR31,RECH2,13283
86,NPIR31,RECH0,8500
86,NPIR31,RECH2,8082
87,BJGE33FL,,200
87,BJIR31,RECH0,4777
87,BJIR31,RECH2,4499
88,PEIR31,RECH0,33498
88,PEIR31,RECH2,28122
89,BDIR3A,RECH0,9099
89,BDIR3A,RECH2,8682
90,ZMIR31,RECH0,8016
90,ZMIR31,RECH2,7286
92,DRIR32,RECH0,10534
92,DRIR32,RECH2,8831
93,KMIR32,RECH0,2363
93,KMIR32,RECH2,2252
94,UZIR31,RECH0,3945
94,UZIR31,RECH2,3703
95,IDIR3A,RECH0,35362
95,IDIR3A,RECH2,34255
96,JOIR31,RECH0,7924
96,JOIR31,RECH2,7335
98,BOIR3B,RECH0,13136
98,BOIR3B,RECH2,12109
99,NIGE32FL,,268
99,NIIR31,RECH0,6377
99,NIIR31,RECH2,5928
